example_id                                               | status  | run_time        |
./spec/models/lesson_spec.rb[1:7:1]                      | failed  | 0.00247 seconds |
./spec/models/lesson_spec.rb[1:8:1]                      | failed  | 0.00259 seconds |
./spec/models/lesson_spec.rb[1:8:2]                      | failed  | 0.00247 seconds |
./spec/models/lesson_spec.rb[1:8:3]                      | failed  | 0.00248 seconds |
./spec/models/lesson_spec.rb[1:9:1]                      | failed  | 0.00312 seconds |
./spec/models/lesson_spec.rb[1:9:2]                      | failed  | 0.00268 seconds |
./spec/models/lesson_spec.rb[1:9:3]                      | failed  | 0.00333 seconds |
./spec/models/quiz_response_spec.rb[1:1:1]               | passed  | 0.00123 seconds |
./spec/models/quiz_response_spec.rb[1:1:2]               | passed  | 0.00114 seconds |
./spec/models/quiz_response_spec.rb[1:2:1]               | passed  | 0.00179 seconds |
./spec/models/quiz_response_spec.rb[1:2:2]               | passed  | 0.00148 seconds |
./spec/models/quiz_response_spec.rb[1:3:1]               | failed  | 0.00107 seconds |
./spec/models/quiz_response_spec.rb[1:3:2]               | failed  | 0.0029 seconds  |
./spec/models/quiz_response_spec.rb[1:3:3]               | failed  | 0.00246 seconds |
./spec/models/quiz_response_spec.rb[1:4:1:1:1]           | failed  | 0.00289 seconds |
./spec/models/quiz_response_spec.rb[1:4:1:1:2]           | failed  | 0.00257 seconds |
./spec/models/quiz_response_spec.rb[1:4:1:1:3:1]         | failed  | 0.00279 seconds |
./spec/models/quiz_response_spec.rb[1:4:1:2:1]           | failed  | 0.00246 seconds |
./spec/models/quiz_response_spec.rb[1:4:1:2:2]           | failed  | 0.00209 seconds |
./spec/models/quiz_response_spec.rb[1:5:1]               | failed  | 0.00241 seconds |
./spec/models/quiz_response_spec.rb[1:5:2]               | failed  | 0.00338 seconds |
./spec/models/quiz_response_spec.rb[1:6:1]               | failed  | 0.00283 seconds |
./spec/models/quiz_response_spec.rb[1:6:2]               | failed  | 0.00278 seconds |
./spec/models/quiz_response_spec.rb[1:7:1]               | failed  | 0.00117 seconds |
./spec/models/quiz_response_spec.rb[1:7:2]               | failed  | 0.00103 seconds |
./spec/models/quiz_response_spec.rb[1:7:3]               | failed  | 0.00145 seconds |
./spec/models/quiz_response_spec.rb[1:7:4]               | failed  | 0.00107 seconds |
./spec/models/quiz_response_spec.rb[1:8:1]               | failed  | 0.00438 seconds |
./spec/models/quiz_response_spec.rb[1:8:2]               | failed  | 0.00117 seconds |
./spec/models/quiz_response_spec.rb[1:9:1]               | failed  | 0.00256 seconds |
./spec/models/quiz_response_spec.rb[1:9:2]               | failed  | 0.00086 seconds |
./spec/requests/api/v1/documents_spec.rb[1:1:1:1]        | failed  | 0.00095 seconds |
./spec/requests/api/v1/documents_spec.rb[1:1:1:2]        | failed  | 0.00101 seconds |
./spec/requests/api/v1/documents_spec.rb[1:1:1:3]        | failed  | 0.00085 seconds |
./spec/requests/api/v1/documents_spec.rb[1:1:1:4]        | failed  | 0.00085 seconds |
./spec/requests/api/v1/documents_spec.rb[1:1:2:1]        | failed  | 0.00086 seconds |
./spec/requests/api/v1/documents_spec.rb[1:1:2:2]        | failed  | 0.00091 seconds |
./spec/requests/api/v1/documents_spec.rb[1:2:1]          | failed  | 0.00075 seconds |
./spec/requests/api/v1/documents_spec.rb[1:2:2]          | failed  | 0.00071 seconds |
./spec/requests/api/v1/documents_spec.rb[1:2:3]          | failed  | 0.00075 seconds |
./spec/requests/api/v1/documents_spec.rb[1:2:4]          | failed  | 0.00077 seconds |
./spec/requests/api/v1/documents_spec.rb[1:2:5]          | failed  | 0.00075 seconds |
./spec/requests/api/v1/documents_spec.rb[1:3:1]          | failed  | 0.00076 seconds |
./spec/requests/api/v1/documents_spec.rb[1:3:2]          | failed  | 0.00079 seconds |
./spec/requests/api/v1/documents_spec.rb[1:4:1]          | failed  | 0.00097 seconds |
./spec/requests/api/v1/documents_spec.rb[1:4:2]          | failed  | 0.07523 seconds |
./spec/requests/api/v1/documents_spec.rb[1:4:3]          | failed  | 0.00084 seconds |
./spec/requests/api/v1/documents_spec.rb[1:5:1]          | failed  | 0.00089 seconds |
./spec/requests/api/v1/documents_spec.rb[1:5:2]          | failed  | 0.00076 seconds |
./spec/requests/api/v1/documents_spec.rb[1:5:3]          | failed  | 0.00077 seconds |
./spec/requests/api/v1/documents_spec.rb[1:5:4]          | failed  | 0.00076 seconds |
./spec/requests/api/v1/documents_spec.rb[1:5:5]          | failed  | 0.00073 seconds |
./spec/requests/api/v1/learners_spec.rb[1:1:1]           | failed  | 0.00574 seconds |
./spec/requests/api/v1/learners_spec.rb[1:1:2]           | failed  | 0.00568 seconds |
./spec/requests/api/v1/learners_spec.rb[1:1:3:1]         | failed  | 0.01119 seconds |
./spec/requests/api/v1/learners_spec.rb[1:2:1]           | failed  | 0.00257 seconds |
./spec/requests/api/v1/learners_spec.rb[1:2:2:1]         | failed  | 0.00088 seconds |
./spec/requests/api/v1/learners_spec.rb[1:3:1:1]         | failed  | 0.0016 seconds  |
./spec/requests/api/v1/learners_spec.rb[1:3:1:2]         | failed  | 0.00093 seconds |
./spec/requests/api/v1/learners_spec.rb[1:3:1:3]         | failed  | 0.00089 seconds |
./spec/requests/api/v1/learners_spec.rb[1:3:2:1]         | passed  | 0.00148 seconds |
./spec/requests/api/v1/learners_spec.rb[1:3:2:2]         | failed  | 0.001 seconds   |
./spec/requests/api/v1/learners_spec.rb[1:3:2:3]         | failed  | 0.00089 seconds |
./spec/requests/api/v1/learners_spec.rb[1:3:3:1]         | failed  | 0.00264 seconds |
./spec/requests/api/v1/learners_spec.rb[1:3:4:1]         | failed  | 0.00086 seconds |
./spec/requests/api/v1/learners_spec.rb[1:4:1:1]         | failed  | 0.00244 seconds |
./spec/requests/api/v1/learners_spec.rb[1:4:1:2]         | failed  | 0.00225 seconds |
./spec/requests/api/v1/learners_spec.rb[1:4:2:1]         | failed  | 0.00266 seconds |
./spec/requests/api/v1/learners_spec.rb[1:4:2:2]         | passed  | 0.00302 seconds |
./spec/requests/api/v1/learners_spec.rb[1:4:3:1]         | failed  | 0.00075 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:1:1]         | failed  | 0.00262 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:1:2]         | failed  | 0.00237 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:1:3]         | failed  | 0.00242 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:1:4]         | failed  | 0.00246 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:1:5]         | failed  | 0.00249 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:1:6]         | failed  | 0.0025 seconds  |
./spec/requests/api/v1/learners_spec.rb[1:5:2:1]         | failed  | 0.00294 seconds |
./spec/requests/api/v1/learners_spec.rb[1:5:3:1]         | failed  | 0.00097 seconds |
./spec/requests/api/v1/learners_spec.rb[1:6:1]           | failed  | 0.00144 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:1:1]   | failed  | 0.00454 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:1:2]   | failed  | 0.00279 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:1:3]   | failed  | 0.00724 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:1:4]   | failed  | 0.00513 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:1:5]   | failed  | 0.00084 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:1:6]   | failed  | 0.00324 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:2:1]   | passed  | 0.0141 seconds  |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:2:2]   | failed  | 0.00286 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:2:3]   | failed  | 0.00254 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:2:4]   | failed  | 0.00077 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:3:1]   | failed  | 0.00108 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:3:2]   | passed  | 0.00163 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:4:1]   | failed  | 0.00318 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:1:5:1]   | failed  | 0.00337 seconds |
./spec/requests/api/v1/learning_paths_spec.rb[1:2:1]     | passed  | 0.00614 seconds |
./spec/requests/health_spec.rb[1:1:1]                    | failed  | 0.00116 seconds |
./spec/services/ai_service_client_spec.rb[1:1:1:1]       | passed  | 0.00193 seconds |
./spec/services/ai_service_client_spec.rb[1:1:1:2]       | passed  | 0.00192 seconds |
./spec/services/ai_service_client_spec.rb[1:1:2:1]       | passed  | 0.00126 seconds |
./spec/services/ai_service_client_spec.rb[1:1:3:1]       | passed  | 0.00116 seconds |
./spec/services/ai_service_client_spec.rb[1:1:4:1]       | passed  | 0.00134 seconds |
./spec/services/ai_service_client_spec.rb[1:1:5:1]       | passed  | 0.00187 seconds |
./spec/services/ai_service_client_spec.rb[1:1:6:1]       | passed  | 0.00119 seconds |
./spec/services/ai_service_client_spec.rb[1:2:1:1]       | passed  | 0.00224 seconds |
./spec/services/ai_service_client_spec.rb[1:2:2:1]       | passed  | 0.00122 seconds |
./spec/services/ai_service_client_spec.rb[1:2:3:1]       | passed  | 0.00134 seconds |
./spec/services/ai_service_client_spec.rb[1:3:1]         | passed  | 0.00077 seconds |
